id,sta,dH,tm_model,rata,airs,ecmwf,bevis,gpt3,mendes,schue,avg,chk
36,CMPN,-77,gpt3,-0.2,0.4,0.2,1.1,0.9,0.9,1.8,0.3,
40,CTAK,-229,meo,1.1,1.8,1.6,2.4,2.7,2.3,3.2,1.7,chk
41,CTAK,-229,airs,1.2,1.9,1.7,2.6,2.7,2.4,3.4,1.8,chk
42,CTAK,-229,gpt3,1.4,1.9,1.7,2.7,2.7,2.6,3.5,1.8,chk
43,DBRM,14,meo,-1.1,-0.3,-0.5,0.5,0.6,0.3,1.4,0.4,
44,DBRM,14,airs,-0.9,-0.2,-0.4,0.7,0.6,0.5,1.6,0.3,
45,DBRM,14,gpt3,-0.8,-0.1,-0.4,0.8,0.6,0.6,1.6,0.25,
46,DCMI,-337,meo,-0.4,0.1,-0.1,0.8,1,0.7,1.5,0,
47,DCMI,-337,airs,-0.3,0.2,0,0.9,1,0.8,1.6,0.1,
48,DCMI,-337,gpt3,-0.2,0.3,0,1,1,0.9,1.7,0.15,
49,DCRI,-102,meo,-1.3,-0.7,-0.8,-0.1,0.5,-0.2,0.7,0.75,
50,DCRI,-102,airs,-1.1,-0.5,-0.7,0.2,0.5,0.1,1,0.6,
51,DCRI,-102,gpt3,-0.8,-0.3,-0.6,0.5,0.5,0.4,1.3,0.45,
52,DMSN,-448,meo,-0.3,0.3,0.1,0.9,1.2,0.8,1.6,0.2,
53,DMSN,-448,airs,-0.2,0.4,0.2,1.1,1.2,1,1.8,0.3,
54,DMSN,-448,gpt3,0,0.5,0.3,1.2,1.2,1.1,1.9,0.4,
55,DPLK,-58,meo,-0.3,0.5,0.3,1.2,1.5,1,2,0.4,
56,DPLK,-58,airs,-0.2,0.5,0.3,1.3,1.5,1.2,2.2,0.4,
57,DPLK,-58,gpt3,0,0.6,0.4,1.5,1.5,1.3,2.3,0.5,
58,DPNB,-311,meo,0.2,0.9,0.7,1.5,1.7,1.3,2.3,0.8,
59,DPNB,-311,airs,0.3,1,0.8,1.7,1.7,1.5,2.4,0.9,
60,DPNB,-311,gpt3,0.4,1,0.8,1.8,1.7,1.7,2.5,0.9,
61,DPT9,65,meo,-0.2,0.6,0.4,1.3,1.4,1.1,2.2,0.5,
62,DPT9,65,airs,0.1,0.8,0.6,1.7,1.4,1.5,2.5,0.7,
63,DPT9,65,gpt3,0.1,0.8,0.6,1.6,1.4,1.4,2.5,0.7,
64,DSSK,30,meo,-1.7,-1,-1.2,-0.2,-0.2,-0.3,0.8,1.1,chk
65,DSSK,30,airs,-1.6,-0.9,-1.2,0,-0.2,-0.2,0.9,1.05,chk
66,DSSK,30,gpt3,-1.6,-0.9,-1.1,0,-0.2,-0.1,0.9,1,
67,DYLA,-88,meo,-0.7,0,-0.2,0.9,1.2,0.7,1.8,0.1,
68,DYLA,-88,airs,-0.6,0.1,-0.1,1.1,1.2,0.9,2,0,
69,DYLA,-88,gpt3,-0.6,0.1,-0.2,1,1.2,0.9,2,0.05,
70,ECMI,-277,meo,0,0.6,0.4,1.2,1.6,1.1,2,0.5,
71,ECMI,-277,airs,0.2,0.7,0.5,1.5,1.6,1.4,2.2,0.6,
72,ECMI,-277,gpt3,0.3,0.8,0.6,1.6,1.6,1.5,2.3,0.7,
73,ENMA,-92,meo,-1.7,-0.9,-1.2,-0.2,0,-0.4,0.7,1.05,chk
74,ENMA,-92,airs,-1.5,-0.8,-1.1,0,0,-0.1,0.9,0.95,
75,ENMA,-92,gpt3,-1.4,-0.8,-1,0.1,0,0,0.9,0.9,
76,HACH,-132,meo,0,0.5,0.4,1,1.2,0.9,1.7,0.45,
77,HACH,-132,airs,0.1,0.6,0.4,1.1,1.2,1,1.8,0.5,
78,HACH,-132,gpt3,0.2,0.6,0.4,1.2,1.2,1.1,1.9,0.5,
79,KNKN,-24,meo,-0.1,0.5,0.4,1.2,1.2,1,1.9,0.45,
80,KNKN,-24,airs,0,0.6,0.4,1.3,1.2,1.2,2.1,0.5,
81,KNKN,-24,gpt3,0.1,0.7,0.5,1.4,1.2,1.3,2.1,0.6,
82,KNSN,-19,meo,-0.5,0.2,0,0.8,0.8,0.6,1.6,0.1,
83,KNSN,-19,airs,-0.4,0.2,0,0.9,0.8,0.8,1.7,0.1,
84,KNSN,-19,gpt3,-0.3,0.3,0.1,1,0.8,0.9,1.7,0.2,
85,LCNT,-16,meo,0.3,1.1,0.8,1.9,1.9,1.7,2.8,0.95,
86,LCNT,-16,airs,0.3,1.1,0.8,1.9,1.9,1.7,2.8,0.95,
87,LCNT,-16,gpt3,0.4,1.1,0.9,2,1.9,1.8,2.9,1,
88,LKPT,-35,meo,-0.4,0.4,0.2,1.1,1.4,1,2.1,0.3,
89,LKPT,-35,airs,-0.2,0.5,0.3,1.4,1.4,1.2,2.3,0.4,
90,LKPT,-35,gpt3,-0.1,0.6,0.4,1.5,1.4,1.4,2.4,0.5,
91,LLPN,-75,meo,-0.7,-0.1,-0.3,0.6,0.8,0.5,1.4,0.2,
92,LLPN,-75,airs,-0.5,0,-0.2,0.8,0.8,0.7,1.5,0.1,
93,LLPN,-75,gpt3,-0.4,0.1,-0.2,0.9,0.8,0.8,1.6,0.05,
94,LMDH,-48,meo,-1.2,-0.5,-0.7,0.2,0.3,0.1,1.1,0.6,
95,LMDH,-48,airs,-1.1,-0.4,-0.7,0.4,0.3,0.3,1.2,0.55,
96,LMDH,-48,gpt3,-1,-0.4,-0.6,0.5,0.3,0.3,1.3,0.5,
97,LNAN,-272,meo,-0.8,-0.2,-0.4,0.5,0.8,0.3,1.2,0.3,
98,LNAN,-272,airs,-0.7,-0.1,-0.3,0.6,0.8,0.5,1.3,0.2,
99,LNAN,-272,gpt3,-0.5,0,-0.2,0.8,0.8,0.7,1.5,0.1,
100,LNBP,-14,meo,-1.3,-0.6,-0.9,0.1,0.2,0,0.9,0.75,
101,LNBP,-14,airs,-1.2,-0.6,-0.8,0.2,0.2,0.1,1,0.7,
102,LNBP,-14,gpt3,-1.1,-0.5,-0.8,0.3,0.2,0.2,1.1,0.65,
103,LNSN,38,meo,-0.1,0.6,0.4,1.4,1.6,1.2,2.3,0.5,
104,LNSN,38,airs,0,0.7,0.5,1.5,1.6,1.4,2.4,0.6,
105,LNSN,38,gpt3,0.1,0.7,0.5,1.6,1.6,1.5,2.5,0.6,
106,LPBR,0,meo,0,0.8,0.6,1.4,1.6,1.2,2.2,0.7,
107,LPBR,0,airs,0.2,0.9,0.7,1.6,1.6,1.5,2.5,0.8,
108,LPBR,0,gpt3,0.3,1,0.8,1.7,1.6,1.6,2.6,0.9,
109,MHGS,-511,meo,0.4,0.8,0.7,1.3,1.5,1.2,1.8,0.75,
110,MHGS,-511,airs,0.4,0.9,0.7,1.4,1.5,1.3,1.9,0.8,
111,MHGS,-511,gpt3,0.5,0.9,0.8,1.4,1.5,1.4,2,0.85,
112,MRBR,-50,meo,0.7,1.5,1.3,2.2,2.5,2,3.1,1.4,chk
113,MRBR,-50,airs,0.9,1.6,1.4,2.5,2.5,2.3,3.4,1.5,chk
114,MRBR,-50,gpt3,0.9,1.6,1.4,2.5,2.5,2.3,3.4,1.5,chk
115,MSOD,-290,meo,0.4,0.9,0.8,1.4,1.5,1.2,2,0.85,
116,MSOD,-290,airs,0.5,0.9,0.8,1.5,1.5,1.4,2.1,0.85,
117,MSOD,-290,gpt3,0.6,1,0.8,1.6,1.5,1.5,2.2,0.9,
118,NKBI,-77,meo,-0.7,0.1,-0.2,0.9,1,0.7,1.9,0.05,
119,NKBI,-77,airs,-0.5,0.2,-0.1,1.1,1,1,2.1,0.05,
120,NKBI,-77,gpt3,-0.6,0.1,-0.1,1,1,0.9,2,0,
121,NKNY,-149,meo,-0.7,-0.2,-0.5,0.7,0.1,0.6,1.5,0.35,
122,NKNY,-149,airs,-1.1,-0.4,-0.6,0.3,0.1,0.1,1.1,0.5,
123,NKNY,-149,gpt3,-1,-0.4,-0.6,0.3,0.1,0.2,1.1,0.5,
124,NKRM,-31,meo,-1.7,-1,-1.2,-0.4,-0.2,-0.5,0.4,1.1,chk
125,NKRM,-31,airs,-1.5,-0.9,-1.1,-0.2,-0.2,-0.3,0.6,1,
126,NKRM,-31,gpt3,-1.4,-0.8,-1,0,-0.2,-0.1,0.8,0.9,
127,NKSW,9,meo,1.6,2.4,2.2,2.9,3.2,2.7,3.7,2.3,chk
128,NKSW,9,airs,1.8,2.5,2.3,3.2,3.2,3,4,2.4,chk
129,NKSW,9,gpt3,2,2.6,2.4,3.3,3.2,3.2,4.1,2.5,chk
130,NRTW,-78,meo,-0.3,0.4,0.2,1.1,1.6,1,2,0.3,
131,NRTW,-78,airs,-0.1,0.6,0.3,1.5,1.6,1.3,2.3,0.45,
132,NRTW,-78,gpt3,-0.2,0.5,0.3,1.4,1.6,1.2,2.2,0.4,
133,PJRK,-176,meo,0,0.8,0.6,1.4,1.6,1.2,2.3,0.7,
134,PJRK,-176,airs,0.3,0.9,0.7,1.8,1.6,1.6,2.6,0.8,
135,PJRK,-176,gpt3,0.3,0.9,0.7,1.7,1.6,1.5,2.5,0.8,
136,PNST,-87,meo,-0.7,0.1,-0.2,1,0.9,0.8,1.9,0.05,
137,PNST,-87,airs,-0.6,0.1,-0.2,1.1,0.9,0.9,2,0.05,
138,PNST,-87,gpt3,-0.7,0,-0.2,1,0.9,0.8,1.9,0.1,
139,PNTG,-13,meo,-0.9,-0.2,-0.4,0.4,0.4,0.3,1.2,0.3,
140,PNTG,-13,airs,-0.7,-0.1,-0.3,0.6,0.4,0.5,1.4,0.2,
141,PNTG,-13,gpt3,-0.7,-0.1,-0.3,0.7,0.4,0.5,1.4,0.2,
142,PTLG,-88,meo,-0.2,0.5,0.3,1.3,1.3,1.1,2.1,0.4,
143,PTLG,-88,airs,0,0.6,0.4,1.5,1.3,1.3,2.3,0.5,
144,PTLG,-88,gpt3,-0.1,0.6,0.3,1.4,1.3,1.2,2.2,0.45,
145,PYAO,-121,meo,-0.1,0.4,0.3,0.9,1,0.8,1.5,0.35,
146,PYAO,-121,airs,0,0.5,0.3,1.1,1,1,1.7,0.4,
147,PYAO,-121,gpt3,0.1,0.5,0.4,1.2,1,1.1,1.8,0.45,
148,RAND,-33,meo,1.2,1.9,1.7,2.5,2.5,2.4,3.3,1.8,chk
149,RAND,-33,airs,1.4,2,1.8,2.7,2.5,2.6,3.4,1.9,chk
150,RAND,-33,gpt3,1.3,1.9,1.7,2.6,2.5,2.4,3.3,1.8,chk
151,RAYG,-40,meo,-0.7,0.1,-0.1,0.8,0.7,0.6,1.7,0,
152,RAYG,-40,airs,-0.4,0.2,0,1.1,0.7,0.9,1.9,0.1,
153,RAYG,-40,gpt3,-0.5,0.1,-0.1,0.9,0.7,0.8,1.8,0,
154,SATN,-87,meo,-0.5,0.3,0.1,1,1.2,0.8,1.9,0.2,
155,SATN,-87,airs,-0.2,0.5,0.3,1.4,1.2,1.2,2.2,0.4,
156,SATN,-87,gpt3,-0.2,0.5,0.2,1.3,1.2,1.1,2.1,0.35,
157,SICN,-124,meo,0.3,1,0.8,1.7,1.6,1.6,2.6,0.9,
158,SICN,-124,airs,0.5,1.1,0.8,1.9,1.6,1.7,2.7,0.95,
159,SICN,-124,gpt3,0.4,1,0.8,1.8,1.6,1.6,2.6,0.9,
160,SISA,-95,meo,-0.2,0.5,0.4,1,1.3,0.9,1.8,0.45,
161,SISA,-95,airs,0,0.6,0.5,1.2,1.3,1.1,2,0.55,
162,SISA,-95,gpt3,0.1,0.7,0.5,1.4,1.3,1.2,2.1,0.6,
163,SKNK,-41,meo,-0.8,-0.2,-0.3,0.5,0.4,0.3,1.2,0.25,
164,SKNK,-41,airs,-0.7,-0.1,-0.3,0.6,0.4,0.5,1.3,0.2,
165,SKNK,-41,gpt3,-0.6,-0.1,-0.3,0.7,0.4,0.6,1.4,0.2,
166,SNCK,-24,meo,-0.8,-0.1,-0.3,0.7,0.5,0.5,1.5,0.2,
167,SNCK,-24,airs,-0.7,0,-0.3,0.8,0.5,0.6,1.6,0.15,
168,SNCK,-24,gpt3,-0.7,-0.1,-0.3,0.8,0.5,0.6,1.6,0.2,
169,SOKA,-23,meo,-0.6,0.1,-0.1,0.9,1,0.7,1.8,0,
170,SOKA,-23,airs,-0.3,0.3,0.1,1.2,1,1.1,2.1,0.2,
171,SOKA,-23,gpt3,-0.5,0.2,0,1,1,0.9,1.9,0.1,
172,SURN,-10,meo,-0.7,0.1,-0.1,0.7,0.8,0.5,1.5,0,
173,SURN,-10,airs,-0.4,0.2,0,0.9,0.8,0.8,1.7,0.1,
174,SURN,-10,gpt3,-0.4,0.2,0,1,0.8,0.9,1.8,0.1,
175,TEPA,-69,meo,-0.5,0.2,0,1,1.1,0.8,1.9,0.1,
176,TEPA,-69,airs,-0.3,0.3,0.1,1.2,1.1,1,2.1,0.2,
177,TEPA,-69,gpt3,-0.4,0.3,0.1,1.1,1.1,1,2,0.2,
178,THAI,12,meo,-0.8,0,-0.2,0.5,0.6,0.4,1.4,0.1,
179,THAI,12,airs,-0.5,0.1,-0.1,0.8,0.6,0.7,1.6,0,
180,THAI,12,gpt3,-0.5,0.2,0,0.9,0.6,0.7,1.7,0.1,
181,THKP,-197,meo,0.5,1.1,0.9,1.9,1.7,1.7,2.7,1,
182,THKP,-197,airs,0.6,1.2,1,2,1.7,1.8,2.8,1.1,chk
183,THKP,-197,gpt3,0.5,1.1,0.9,1.8,1.7,1.7,2.6,1,
184,THPP,-279,meo,0.3,0.9,0.8,1.3,1.5,1.1,1.9,0.85,
185,THPP,-279,airs,0.5,1,0.8,1.5,1.5,1.4,2.1,0.9,
186,THPP,-279,gpt3,0.6,1.1,0.9,1.7,1.5,1.6,2.2,1,
187,TKRI,-105,meo,1.1,1.8,1.6,2.6,2.8,2.4,3.4,1.7,chk
188,TKRI,-105,airs,1.2,1.9,1.7,2.7,2.8,2.6,3.6,1.8,chk
189,TKRI,-105,gpt3,1.3,2,1.7,2.8,2.8,2.7,3.7,1.85,chk
190,TNPM,3,meo,-1.7,-1,-1.2,-0.3,-0.2,-0.4,0.6,1.1,chk
191,TNPM,3,airs,-1.6,-0.9,-1.2,-0.1,-0.2,-0.2,0.8,1.05,chk
192,TNPM,3,gpt3,-1.5,-0.9,-1.1,0,-0.2,-0.1,0.8,1,
193,TNPT,-6,meo,-0.1,0.7,0.5,1.4,1.5,1.2,2.2,0.6,
194,TNPT,-6,airs,0,0.7,0.5,1.5,1.5,1.3,2.4,0.6,
195,TNPT,-6,gpt3,0.1,0.8,0.6,1.6,1.5,1.4,2.4,0.7,
196,TNST,-142,meo,0.5,1.3,1.1,2,2.3,1.9,3,1.2,chk
197,TNST,-142,airs,0.8,1.5,1.2,2.4,2.3,2.2,3.2,1.35,chk
198,TNST,-142,gpt3,0.7,1.4,1.2,2.3,2.3,2.1,3.2,1.3,chk
199,TPHN,-31,meo,-0.1,0.6,0.5,1.2,1.4,1,2,0.55,
200,TPHN,-31,airs,0.1,0.7,0.5,1.4,1.4,1.2,2.2,0.6,
201,TPHN,-31,gpt3,0.1,0.8,0.6,1.5,1.4,1.3,2.3,0.7,
202,TPKT,188,meo,-1.4,-0.6,-0.9,0.4,0.3,0.2,1.3,0.75,
203,TPKT,188,airs,-1.1,-0.4,-0.8,0.7,0.3,0.6,1.7,0.6,
204,TPKT,188,gpt3,-1.2,-0.5,-0.8,0.6,0.3,0.4,1.5,0.65,
205,TSKA,-81,meo,-1,-0.3,-0.5,0.7,0.7,0.5,1.6,0.4,
206,TSKA,-81,airs,-0.8,-0.1,-0.4,0.9,0.7,0.7,1.8,0.25,
207,TSKA,-81,gpt3,-1,-0.2,-0.5,0.7,0.7,0.5,1.6,0.35,
208,TSKW,-58,meo,-0.4,0.3,0.1,1.1,1.3,0.9,2,0.2,
209,TSKW,-58,airs,-0.3,0.4,0.2,1.3,1.3,1.1,2.2,0.3,
210,TSKW,-58,gpt3,-0.2,0.5,0.2,1.4,1.3,1.2,2.3,0.35,
211,TSRI,252,meo,-1.8,-1.2,-1.5,-0.3,-0.6,-0.4,0.5,1.35,chk
212,TSRI,252,airs,-1.7,-1.2,-1.4,-0.2,-0.6,-0.3,0.6,1.3,chk
213,TSRI,252,gpt3,-1.7,-1.1,-1.4,-0.2,-0.6,-0.3,0.7,1.25,chk
214,TUBN,8,meo,-1.3,-0.6,-0.8,0.3,0.3,0.1,1.2,0.7,
215,TUBN,8,airs,-1.2,-0.5,-0.8,0.4,0.3,0.3,1.3,0.65,
216,TUBN,8,gpt3,-1.2,-0.5,-0.8,0.4,0.3,0.3,1.3,0.65,
217,UDON,-24,meo,-2.2,-1.4,-1.6,-0.8,-0.7,-1,0,1.5,chk
218,UDON,-24,airs,-2,-1.3,-1.5,-0.6,-0.7,-0.8,0.2,1.4,chk
219,UDON,-24,gpt3,-1.9,-1.3,-1.5,-0.5,-0.7,-0.7,0.3,1.4,chk
220,UTOG,-13,meo,-0.1,0.6,0.5,1.2,1.3,1,2,0.55,
221,UTOG,-13,airs,0.1,0.7,0.5,1.4,1.3,1.2,2.1,0.6,
222,UTOG,-13,gpt3,0.2,0.8,0.6,1.5,1.3,1.3,2.2,0.7,
223,UTTD,-117,meo,-0.7,-0.1,-0.2,0.4,0.7,0.3,1.2,0.15,
224,UTTD,-117,airs,-0.6,0,-0.1,0.6,0.7,0.5,1.3,0.05,
225,UTTD,-117,gpt3,-0.4,0.1,-0.1,0.8,0.7,0.6,1.5,0,
226,VCBR,-112,meo,0.3,1,0.8,1.6,1.7,1.4,2.3,0.9,
227,VCBR,-112,airs,0.4,1.1,0.9,1.7,1.7,1.6,2.5,1,
228,VCBR,-112,gpt3,0.5,1.1,0.9,1.8,1.7,1.7,2.6,1,
229,WSPG,-173,meo,-0.3,0.3,0.1,0.8,0.9,0.7,1.5,0.2,
230,WSPG,-173,airs,-0.2,0.4,0.2,1,0.9,0.9,1.6,0.3,
231,WSPG,-173,gpt3,0,0.5,0.3,1.1,0.9,1,1.8,0.4,
